1	1	0.000157
2	1	0.000315
3	1	0.000483
4	1	0.000647
5	1	0.000817
6	1	0.000991
7	1	0.001151
8	1	0.001321
9	1	0.001481
10	1	0.001658
11	1	0.001820
12	1	0.001985
1	2	0.000209
2	2	0.000445
3	2	0.000680
4	2	0.000923
5	2	0.001155
6	2	0.001423
7	2	0.001653
8	2	0.001888
9	2	0.002138
10	2	0.002377
11	2	0.002626
12	2	0.002867
1	3	0.000361
2	3	0.000793
3	3	0.001243
4	3	0.001728
5	3	0.002208
6	3	0.002671
7	3	0.003139
8	3	0.003632
9	3	0.004144
10	3	0.004600
11	3	0.005062
12	3	0.005513
1	4	0.001248
2	4	0.002867
3	4	0.004558
4	4	0.006359
5	4	0.008234
6	4	0.010108
7	4	0.012004
8	4	0.013838
9	4	0.015690
10	4	0.017567
11	4	0.019411
12	4	0.021314
1	5	0.001353
2	5	0.002918
3	5	0.005593
4	5	0.009171
5	5	0.013154
6	5	0.017325
7	5	0.021402
8	5	0.025299
9	5	0.029423
10	5	0.033527
11	5	0.037685
12	5	0.041906
1	6	0.004203
2	6	0.008870
3	6	0.014247
4	6	0.019800
5	6	0.025938
6	6	0.032926
7	6	0.039957
8	6	0.046589
9	6	0.053197
10	6	0.059941
11	6	0.066902
12	6	0.073663
1	7	0.005562
2	7	0.011932
3	7	0.020167
4	7	0.029338
5	7	0.039219
6	7	0.050230
7	7	0.061522
8	7	0.073157
9	7	0.084448
10	7	0.095744
11	7	0.107245
12	7	0.118180
1	8	0.009931
2	8	0.021565
3	8	0.035338
4	8	0.050204
5	8	0.066307
6	8	0.082802
7	8	0.100292
8	8	0.118857
9	8	0.138045
10	8	0.156973
11	8	0.176025
12	8	0.195317
1	9	0.014079
2	9	0.029083
3	9	0.047326
4	9	0.065945
5	9	0.086464
6	9	0.109217
7	9	0.134163
8	9	0.159449
9	9	0.185517
10	9	0.213493
11	9	0.241208
12	9	0.272504
1	10	0.021690
2	10	0.046213
3	10	0.073173
4	10	0.098726
5	10	0.127620
6	10	0.156573
7	10	0.186329
8	10	0.220414
9	10	0.260266
10	10	0.304601
11	10	0.348849
12	10	0.390655
1	11	0.031310
2	11	0.064647
3	11	0.105512
4	11	0.147551
5	11	0.188967
6	11	0.211327
7	11	0.233209
8	11	0.255486
9	11	0.278725
10	11	0.302181
11	11	0.336125
12	11	0.378808
1	12	0.047018
2	12	0.076734
3	12	0.108603
4	12	0.142909
5	12	0.187069
6	12	0.240773
7	12	0.298482
8	12	0.364695
9	12	0.430101
10	12	0.492690
11	12	0.553072
12	12	0.603835
1	13	0.054432
2	13	0.104738
3	13	0.162381
4	13	0.227180
5	13	0.294659
6	13	0.360589
7	13	0.433265
8	13	0.507548
9	13	0.558493
10	13	0.607791
11	13	0.666283
12	13	0.748166
1	14	0.045649
2	14	0.092622
3	14	0.162217
4	14	0.228164
5	14	0.271067
6	14	0.315957
7	14	0.408158
8	14	0.534019
9	14	0.648412
10	14	0.761365
11	14	0.862680
12	14	0.931805
1	15	0.064828
2	15	0.137376
3	15	0.210867
4	15	0.306889
5	15	0.366986
6	15	0.432873
7	15	0.536962
8	15	0.648926
9	15	0.733789
10	15	0.811656
11	15	0.885822
12	15	1.001932
